Step_Index,Voltage,Test_Time,SoC,discharge_new
2,3.47,8807.0,0.5042777248833699,-0.9388608055555556
2,3.46,8987.0,0.4941423009797783,-0.9588805555555556
2,3.46,9167.0,0.4840072849058066,-0.9788995
2,3.45,9347.0,0.4738750111344518,-0.9989130277777778
2,3.44,9527.0,0.4637444530601187,-1.0189231666666667
2,3.44,9707.0,0.4536164404051374,-1.038928277777778
2,3.44,9887.0,0.4434865714222309,-1.0589370555555555
2,3.43,10067.0,0.4333520616195117,-1.078955
2,3.43,10247.0,0.4232205191288545,-1.0989670833333334
2,3.42,10427.0,0.4130912126695618,-1.11897475
2,3.42,10607.0,0.4029583623115028,-1.1389894166666668
2,3.41,10787.0,0.3928212508370702,-1.1590125000000002
2,3.41,10967.0,0.3826924084597589,-1.17901925
2,3.41,11147.0,0.3725619207008773,-1.1990292500000002
2,3.41,11327.0,0.3624315032574476,-1.2190391111111112
2,3.4,11507.0,0.3523006357951269,-1.2390498611111112
2,3.4,11687.0,0.3421733544208435,-1.259053527777778
2,3.4,11867.0,0.3320453277027719,-1.2790586666666668
2,3.4,12047.0,0.3219155009091365,-1.2990673611111112
2,3.42,12287.0,0.3117826505510777,-1.319082027777778
2,3.41,12467.0,0.3016545957068254,-1.3390872222222223
2,3.41,12647.0,0.2915209718787976,-1.359103416666667
2,3.41,12827.0,0.2813885996658103,-1.379117138888889
2,3.4,13007.0,0.2712563399575457,-1.3991306388888889
2,3.4,13187.0,0.2611288898261782,-1.419134638888889
2,3.4,13367.0,0.2509957160170415,-1.4391499444444444
2,3.39,13547.0,0.2408628937851631,-1.4591645555555557
2,3.39,13727.0,0.2307328138559016,-1.4791737500000002
2,3.39,13907.0,0.2205990353338801,-1.49919025
2,3.38,14087.0,0.2104649333607806,-1.519207388888889
2,3.38,14267.0,0.2003391426740735,-1.539208111111111
2,3.37,14447.0,0.1902058844863947,-1.5592235833333334
2,3.37,14627.0,0.1800735263364977,-1.579237277777778
2,3.36,14807.0,0.1699411963127813,-1.5992509166666669
2,3.36,14987.0,0.1598114679607785,-1.6192594166666667
2,3.35,15167.0,0.149678434782545,-1.6392744444444447
2,3.34,15347.0,0.1395460485064674,-1.6592881944444446
2,3.34,15527.0,0.1294104558457918,-1.679308277777778
2,3.33,15707.0,0.119282218181365,-1.6993138333333335
2,3.36,16008.0,0.1091495506434805,-1.719328138888889
